id	answer
Al-en-01_402	A
Al-en-01_403	A
Al-en-01_404	A
Al-en-01_405	A
Al-en-01_406	A
Al-en-01_407	A
Al-en-01_408	A
Al-en-01_409	A
Al-en-01_410	A
Al-en-01_411	A
Al-en-01_412	D
Al-en-01_413	D
Al-en-01_414	C
Al-en-01_415	C
Al-en-01_416	C
Al-en-01_417	D
Al-en-01_418	C
Al-en-01_419	C
Al-en-01_420	C
Al-en-01_421	C
Al-en-01_422	C
Al-en-01_423	C
Al-en-01_424	B
Al-en-01_425	B
Al-en-01_426	B
Al-en-01_427	D
Al-en-01_428	C
Al-en-01_429	C
Al-en-01_430	C
Al-en-01_431	C
Al-en-01_432	C
Al-en-01_433	C
Al-en-01_434	B
Al-en-01_435	B
Al-en-01_436	B
Al-en-01_437	C
Al-en-01_438	C
Al-en-01_439	C
Al-en-01_440	B
Al-en-01_441	B
Al-en-01_442	B
Al-en-01_443	B
Al-en-01_444	B
Al-en-01_445	B
Al-en-01_446	A
Al-en-01_447	D
Al-en-01_448	C
Al-en-01_449	C
Al-en-01_450	C
Al-en-01_451	C
Al-en-01_452	C
Al-en-01_453	C
Al-en-01_454	C
Al-en-01_455	C
Al-en-01_456	B
Al-en-01_457	B
Al-en-01_458	B
Al-en-01_459	B
Al-en-01_460	B
Al-en-01_461	B
Al-en-01_462	C
Al-en-01_463	C
Al-en-01_464	C
Al-en-01_465	C
Al-en-01_466	B
Al-en-01_467	B
Al-en-01_468	B
Al-en-01_469	B
Al-en-01_470	B
Al-en-01_471	B
Al-en-01_472	B
Al-en-01_473	B
Al-en-01_474	B
Al-en-01_475	B
Al-en-01_476	B
Al-en-01_477	B
Al-en-01_478	A
Al-en-01_479	A
Al-en-01_480	A
Al-en-01_481	A
Al-en-01_482	D
Al-en-01_483	D
Al-en-01_484	C
Al-en-01_485	C
Al-en-01_486	D
Al-en-01_487	C
Al-en-01_488	C
Al-en-01_489	C
Al-en-01_490	C
Al-en-01_491	B
Al-en-01_492	D
Al-en-01_493	C
Al-en-01_494	C
Al-en-01_495	C
Al-en-01_496	C
Al-en-01_497	B
Al-en-01_498	C
Al-en-01_499	C
Al-en-01_500	B
Al-en-01_501	B
Al-en-01_502	D
Al-en-01_503	D
Al-en-01_504	D
Al-en-01_505	C
Al-en-01_506	D
Al-en-01_507	D
Al-en-01_508	D
Al-en-01_509	D
Al-en-01_510	D
Al-en-01_511	C
Al-en-01_512	D
Al-en-01_513	D
Al-en-01_514	D
Al-en-01_515	D
Al-en-01_516	C
Al-en-01_517	D
Al-en-01_518	D
Al-en-01_519	D
Al-en-01_520	C
Al-en-01_521	D
Al-en-01_522	D
Al-en-01_523	D
Al-en-01_524	C
Al-en-01_525	C
Al-en-01_526	C
Al-en-01_527	D
Al-en-01_528	D
Al-en-01_529	D
Al-en-01_530	D
Al-en-01_531	D
Al-en-01_532	C
Al-en-01_533	D
Al-en-01_534	D
Al-en-01_535	D
Al-en-01_536	D
Al-en-01_537	C
Al-en-01_538	D
Al-en-01_539	D
Al-en-01_540	D
Al-en-01_541	C
Al-en-01_542	D
Al-en-01_543	D
Al-en-01_544	D
Al-en-01_545	C
Al-en-01_546	C
Al-en-01_547	C
Al-en-01_548	D
Al-en-01_549	D
Al-en-01_550	D
Al-en-01_551	D
Al-en-01_552	C
Al-en-01_553	D
Al-en-01_554	D
Al-en-01_555	D
Al-en-01_556	C
Al-en-01_557	D
Al-en-01_558	D
Al-en-01_559	D
Al-en-01_560	C
Al-en-01_561	C
Al-en-01_562	C
Al-en-01_563	D
Al-en-01_564	D
Al-en-01_565	D
Al-en-01_566	C
Al-en-01_567	D
Al-en-01_568	D
Al-en-01_569	D
Al-en-01_570	C
Al-en-01_571	C
Al-en-01_572	C
Al-en-01_573	D
Al-en-01_574	D
Al-en-01_575	D
Al-en-01_576	C
Al-en-01_577	C
Al-en-01_578	C
Al-en-01_579	D
Al-en-01_580	D
Al-en-01_581	D
Al-en-01_582	C
Al-en-01_583	C
Al-en-01_584	C
Al-en-01_585	D
Al-en-01_586	D
Al-en-01_587	D
Al-en-01_588	D
Al-en-01_589	C
Al-en-01_590	D
Al-en-01_591	D
Al-en-01_592	D
Al-en-01_593	D
Al-en-01_594	D
Al-en-01_595	C
Al-en-01_596	D
Al-en-01_597	D
Al-en-01_598	D
Al-en-01_599	D
Al-en-01_600	C
Al-en-01_601	D
Al-en-01_602	D
Al-en-01_603	D
Al-en-01_604	C
Al-en-01_605	D
Al-en-01_606	D
Al-en-01_607	D
Al-en-01_608	C
Al-en-01_609	C
Al-en-01_610	C
Al-en-01_611	D
Al-en-01_612	D
Al-en-01_613	D
Al-en-01_614	D
Al-en-01_615	D
Al-en-01_616	C
Al-en-01_617	D
Al-en-01_618	D
Al-en-01_619	D
Al-en-01_620	D
Al-en-01_621	C
Al-en-01_622	D
Al-en-01_623	D
Al-en-01_624	D
Al-en-01_625	C
Al-en-01_626	D
Al-en-01_627	D
Al-en-01_628	D
Al-en-01_629	C
Al-en-01_630	C
Al-en-01_631	C
Al-en-01_632	D
Al-en-01_633	D
Al-en-01_634	D
Al-en-01_635	D
Al-en-01_636	C
Al-en-01_637	D
Al-en-01_638	D
Al-en-01_639	D
Al-en-01_640	C
Al-en-01_641	D
Al-en-01_642	D
Al-en-01_643	D
Al-en-01_644	C
Al-en-01_645	C
Al-en-01_646	C
Al-en-01_647	D
Al-en-01_648	D
Al-en-01_649	D
Al-en-01_650	C
Al-en-01_651	D
Al-en-01_652	D
Al-en-01_653	D
Al-en-01_654	C
Al-en-01_655	C
Al-en-01_656	C
Al-en-01_657	D
Al-en-01_658	D
Al-en-01_659	D
Al-en-01_660	C
Al-en-01_661	C
Al-en-01_662	C
Al-en-01_663	D
Al-en-01_664	D
Al-en-01_665	D
Al-en-01_666	C
Al-en-01_667	C
Al-en-01_668	C
Al-en-01_669	D
Al-en-01_670	D
Al-en-01_671	D
Al-en-01_672	D
Al-en-01_673	C
Al-en-01_674	D
Al-en-01_675	D
Al-en-01_676	D
Al-en-01_677	D
Al-en-01_678	D
Al-en-01_679	C
Al-en-01_680	D
Al-en-01_681	D
Al-en-01_682	D
Al-en-01_683	D
Al-en-01_684	C
Al-en-01_685	D
Al-en-01_686	D
Al-en-01_687	D
Al-en-01_688	C
Al-en-01_689	D
Al-en-01_690	D
Al-en-01_691	D
Al-en-01_692	C
Al-en-01_693	C
Al-en-01_694	C
Al-en-01_695	D
Al-en-01_696	D
Al-en-01_697	D
Al-en-01_698	D
Al-en-01_699	D
Al-en-01_700	C
Al-en-01_701	D
Al-en-01_702	D
Al-en-01_703	D
Al-en-01_704	D
Al-en-01_705	C
Al-en-01_706	D
Al-en-01_707	D
Al-en-01_708	D
Al-en-01_709	C
Al-en-01_710	D
Al-en-01_711	D
Al-en-01_712	D
Al-en-01_713	C
Al-en-01_714	C
Al-en-01_715	C
Al-en-01_716	D
Al-en-01_717	D
Al-en-01_718	D
Al-en-01_719	D
Al-en-01_720	C
Al-en-01_721	D
Al-en-01_722	D
Al-en-01_723	D
Al-en-01_724	C
Al-en-01_725	D
Al-en-01_726	D
Al-en-01_727	D
Al-en-01_728	C
Al-en-01_729	C
Al-en-01_730	C
Al-en-01_731	D
Al-en-01_732	D
Al-en-01_733	D
Al-en-01_734	C
Al-en-01_735	D
Al-en-01_736	D
Al-en-01_737	D
Al-en-01_738	C
Al-en-01_739	C
Al-en-01_740	C
Al-en-01_741	D
Al-en-01_742	D
Al-en-01_743	D
Al-en-01_744	C
Al-en-01_745	C
Al-en-01_746	C
Al-en-01_747	D
Al-en-01_748	D
Al-en-01_749	D
Al-en-01_750	C
Al-en-01_751	C
Al-en-01_752	C
Al-en-01_753	D
Al-en-01_754	B
Al-en-01_755	A
Al-en-01_756	B
Al-en-01_757	A
Al-en-01_758	B
Al-en-01_759	A
Al-en-01_760	A
Al-en-01_761	B
Al-en-01_762	C
Al-en-01_763	B
Al-en-01_764	C
Al-en-01_765	B
Al-en-01_766	B
Al-en-01_767	B
Al-en-01_768	A
Al-en-01_769	B
Al-en-01_770	A
Al-en-01_771	A
Al-en-01_772	B
Al-en-01_773	C
Al-en-01_774	B
Al-en-01_775	B
Al-en-01_776	B
Al-en-01_777	A
Al-en-01_778	A
Al-en-01_779	B
Al-en-01_780	B
Al-en-01_781	A
Al-en-01_782	B
Al-en-01_783	C
Al-en-01_784	B
Al-en-01_785	C
Al-en-01_786	B
Al-en-01_787	B
Al-en-01_788	B
Al-en-01_789	A
Al-en-01_790	B
Al-en-01_791	A
Al-en-01_792	A
Al-en-01_793	B
Al-en-01_794	C
Al-en-01_795	B
Al-en-01_796	B
Al-en-01_797	B
Al-en-01_798	A
Al-en-01_799	A
Al-en-01_800	B
Al-en-01_801	B
Al-en-01_802	A
Al-en-01_803	C
Al-en-01_804	B
Al-en-01_805	C
Al-en-01_806	B
Al-en-01_807	B
Al-en-01_808	C
Al-en-01_809	D
Al-en-01_810	C
Al-en-01_811	C
Al-en-01_812	C
Al-en-01_813	B
Al-en-01_814	B
Al-en-01_815	C
Al-en-01_816	C
Al-en-01_817	B
Al-en-01_818	B
Al-en-01_819	C
Al-en-01_820	B
Al-en-01_821	B
Al-en-01_822	B
Al-en-01_823	A
Al-en-01_824	A
Al-en-01_825	B
Al-en-01_826	B
Al-en-01_827	A
Al-en-01_828	C
Al-en-01_829	B
Al-en-01_830	B
Al-en-01_831	C
Al-en-01_832	C
Al-en-01_833	B
Al-en-01_834	B
Al-en-01_835	B
Al-en-01_836	A
Al-en-01_837	B
Al-en-01_838	D
Al-en-01_839	D
Al-en-01_840	D
Al-en-01_841	C
Al-en-01_842	D
Al-en-01_843	C
Al-en-01_844	D
Al-en-01_845	D
Al-en-01_846	D
Al-en-01_847	C
Al-en-01_848	D
Al-en-01_849	C
Al-en-01_850	D
Al-en-01_851	D
Al-en-01_852	C
Al-en-01_853	D
Al-en-01_854	C
Al-en-01_855	D
Al-en-01_856	C
Al-en-01_857	D
Al-en-01_858	C
Al-en-01_859	D
Al-en-01_860	C
Al-en-01_861	B
Al-en-01_862	C
Al-en-01_863	C
Al-en-01_864	D
Al-en-01_865	C
Al-en-01_866	D
Al-en-01_867	D
Al-en-01_868	C
Al-en-01_869	D
Al-en-01_870	C
Al-en-01_871	D
Al-en-01_872	D
Al-en-01_873	C
Al-en-01_874	D
Al-en-01_875	C
Al-en-01_876	D
Al-en-01_877	C
Al-en-01_878	D
Al-en-01_879	C
Al-en-01_880	D
Al-en-01_881	C
Al-en-01_882	B
Al-en-01_883	C
Al-en-01_884	C
Al-en-01_885	D
Al-en-01_886	C
Al-en-01_887	D
Al-en-01_888	C
Al-en-01_889	D
Al-en-01_890	C
Al-en-01_891	D
Al-en-01_892	C
Al-en-01_893	D
Al-en-01_894	C
Al-en-01_895	D
Al-en-01_896	C
Al-en-01_897	B
Al-en-01_898	C
Al-en-01_899	C
Al-en-01_900	D
Al-en-01_901	C
Al-en-01_902	C
Al-en-01_903	D
Al-en-01_904	C
Al-en-01_905	D
Al-en-01_906	C
Al-en-01_907	B
Al-en-01_908	C
Al-en-01_909	C
Al-en-01_910	D
Al-en-01_911	C
Al-en-01_912	C
Al-en-01_913	B
Al-en-01_914	C
Al-en-01_915	C
Al-en-01_916	D
Al-en-01_917	C
Al-en-01_918	B
Al-en-01_919	C
Al-en-01_920	B
Al-en-01_921	C
Al-en-01_922	D
Al-en-01_923	D
Al-en-01_924	D
Al-en-01_925	D
Al-en-01_926	D
Al-en-01_927	D
Al-en-01_928	D
Al-en-01_929	D
Al-en-01_930	D
Al-en-01_931	D
Al-en-01_932	D
Al-en-01_933	D
Al-en-01_934	D
Al-en-01_935	D
Al-en-01_936	D
Al-en-01_937	D
Al-en-01_938	D
Al-en-01_939	D
Al-en-01_940	D
Al-en-01_941	D
Al-en-01_942	D
Al-en-01_943	D
Al-en-01_944	D
Al-en-01_945	D
Al-en-01_946	D
Al-en-01_947	D
Al-en-01_948	D
Al-en-01_949	D
Al-en-01_950	D
Al-en-01_951	D
Al-en-01_952	D
Al-en-01_953	D
Al-en-01_954	D
Al-en-01_955	D
Al-en-01_956	D
Al-en-01_957	D
Al-en-01_958	D
Al-en-01_959	D
Al-en-01_960	D
Al-en-01_961	D
Al-en-01_962	D
Al-en-01_963	D
Al-en-01_964	D
Al-en-01_965	D
Al-en-01_966	D
Al-en-01_967	D
Al-en-01_968	D
Al-en-01_969	D
Al-en-01_970	D
Al-en-01_971	D
Al-en-01_972	D
Al-en-01_973	D
Al-en-01_974	D
Al-en-01_975	D
Al-en-01_976	D
Al-en-01_977	D
Al-en-01_978	D
Al-en-01_979	D
Al-en-01_980	D
Al-en-01_981	D
Al-en-01_982	D
Al-en-01_983	D
Al-en-01_984	D
Al-en-01_985	D
Al-en-01_986	D
Al-en-01_987	D
Al-en-01_988	D
Al-en-01_989	D
Al-en-01_990	D
Al-en-01_991	D
Al-en-01_992	D
Al-en-01_993	D
Al-en-01_994	D
Al-en-01_995	D
Al-en-01_996	D
Al-en-01_997	D
Al-en-01_998	D
Al-en-01_999	D
Al-en-01_1000	D
Al-en-01_1001	D
Al-en-01_1002	D
Al-en-01_1003	D
Al-en-01_1004	D
Al-en-01_1005	D
Al-en-01_1006	D
Al-en-01_1007	D
Al-en-01_1008	D
Al-en-01_1009	D
Al-en-01_1010	D
Al-en-01_1011	D
Al-en-01_1012	D
Al-en-01_1013	D
Al-en-01_1014	D
Al-en-01_1015	D
Al-en-01_1016	D
Al-en-01_1017	D
Al-en-01_1018	D
Al-en-01_1019	D
Al-en-01_1020	D
Al-en-01_1021	D
Al-en-01_1022	D
Al-en-01_1023	D
Al-en-01_1024	D
Al-en-01_1025	D
Al-en-01_1026	D
Al-en-01_1027	D
Al-en-01_1028	D
Al-en-01_1029	D
Al-en-01_1030	D
Al-en-01_1031	D
Al-en-01_1032	D
Al-en-01_1033	D
Al-en-01_1034	D
Al-en-01_1035	D
Al-en-01_1036	D
Al-en-01_1037	D
Al-en-01_1038	D
Al-en-01_1039	D
Al-en-01_1040	D
Al-en-01_1041	A
Al-en-01_1042	A
Al-en-01_1043	A
Al-en-01_1044	A
Al-en-01_1045	A
Al-en-01_1046	A
Al-en-01_1047	A
Al-en-01_1048	A
Al-en-01_1049	A
Al-en-01_1050	A
Al-en-01_1051	A
Al-en-01_1052	A
Al-en-01_1053	A
Al-en-01_1054	A
Al-en-01_1055	A
Al-en-01_1056	A
Al-en-01_1057	A
Al-en-01_1058	A
Al-en-01_1059	A
Al-en-01_1060	A
Al-en-01_1061	A
Al-en-01_1062	A
Al-en-01_1063	A
Al-en-01_1064	A
Al-en-01_1065	A
Al-en-01_1066	A
Al-en-01_1067	A
Al-en-01_1068	A
Al-en-01_1069	A
Al-en-01_1070	A
Al-en-01_1071	A
Al-en-01_1072	A
Al-en-01_1073	A
Al-en-01_1074	A
Al-en-01_1075	A
Al-en-01_1076	A
Al-en-01_1077	A
Al-en-01_1078	A
Al-en-01_1079	A
Al-en-01_1080	A
Al-en-01_1081	A
Al-en-01_1082	A
Al-en-01_1083	A
Al-en-01_1084	A
Al-en-01_1085	A
Al-en-01_1086	A
Al-en-01_1087	A
Al-en-01_1088	A
Al-en-01_1089	A
Al-en-01_1090	A
Al-en-01_1091	A
Al-en-01_1092	A
Al-en-01_1093	A
Al-en-01_1094	A
Al-en-01_1095	A
Al-en-01_1096	A
Al-en-01_1097	A
Al-en-01_1098	A
Al-en-01_1099	A
Al-en-01_1100	A
Al-en-01_1101	A
Al-en-01_1102	A
Al-en-01_1103	A
Al-en-01_1104	A
Al-en-01_1105	A
Al-en-01_1106	A
Al-en-01_1107	A
Al-en-01_1108	A
Al-en-01_1109	A
Al-en-01_1110	A
Al-en-01_1111	A
Al-en-01_1112	A
Al-en-01_1113	A
Al-en-01_1114	A
Al-en-01_1115	A
Al-en-01_1116	A
Al-en-01_1117	A
Al-en-01_1118	A
Al-en-01_1119	A
Al-en-01_1120	A
Al-en-01_1121	A
Al-en-01_1122	A
Al-en-01_1123	A
Al-en-01_1124	A
Al-en-01_1125	D
Al-en-01_1126	D
Al-en-01_1127	D
Al-en-01_1128	D
Al-en-01_1129	D
Al-en-01_1130	D
Al-en-01_1131	D
Al-en-01_1132	D
Al-en-01_1133	D
Al-en-01_1134	D
Al-en-01_1135	D
Al-en-01_1136	D
Al-en-01_1137	D
Al-en-01_1138	D
Al-en-01_1139	D
Al-en-01_1140	D
Al-en-01_1141	D
Al-en-01_1142	D
Al-en-01_1143	D
Al-en-01_1144	D
Al-en-01_1145	D
Al-en-01_1146	D
Al-en-01_1147	D
Al-en-01_1148	D
Al-en-01_1149	D
Al-en-01_1150	D
Al-en-01_1151	D
Al-en-01_1152	D
Al-en-01_1153	D
Al-en-01_1154	D
Al-en-01_1155	D
Al-en-01_1156	D
Al-en-01_1157	D
Al-en-01_1158	D
Al-en-01_1159	D
Al-en-01_1160	D
Al-en-01_1161	D
Al-en-01_1162	D
Al-en-01_1163	D
Al-en-01_1164	D
Al-en-01_1165	D
Al-en-01_1166	D
Al-en-01_1167	D
Al-en-01_1168	D
Al-en-01_1169	D
Al-en-01_1170	D
Al-en-01_1171	D
Al-en-01_1172	D
Al-en-01_1173	D
Al-en-01_1174	D
Al-en-01_1175	D
Al-en-01_1176	D
Al-en-01_1177	D
Al-en-01_1178	D
Al-en-01_1179	D
Al-en-01_1180	D
Al-en-01_1181	D
Al-en-01_1182	D
Al-en-01_1183	D
Al-en-01_1184	D
Al-en-01_1185	D
Al-en-01_1186	D
Al-en-01_1187	D
Al-en-01_1188	D
Al-en-01_1189	D
Al-en-01_1190	D
Al-en-01_1191	D
Al-en-01_1192	D
Al-en-01_1193	D
Al-en-01_1194	D
Al-en-01_1195	D
Al-en-01_1196	D
Al-en-01_1197	D
Al-en-01_1198	D
Al-en-01_1199	D
Al-en-01_1200	D
Al-en-01_1201	D
Al-en-01_1202	D
Al-en-01_1203	D
Al-en-01_1204	D
Al-en-01_1205	D
Al-en-01_1206	D
Al-en-01_1207	D
Al-en-01_1208	D
Al-en-01_1209	D
Al-en-01_1210	D
Al-en-01_1211	D
Al-en-01_1212	D
Al-en-01_1213	D
Al-en-01_1214	C
Al-en-01_1215	C
Al-en-01_1216	D
Al-en-01_1217	D
Al-en-01_1218	D
Al-en-01_1219	D
Al-en-01_1220	C
Al-en-01_1221	C
Al-en-01_1222	D
Al-en-01_1223	D
Al-en-01_1224	D
Al-en-01_1225	C
Al-en-01_1226	C
Al-en-01_1227	D
Al-en-01_1228	D
Al-en-01_1229	C
Al-en-01_1230	C
Al-en-01_1231	D
Al-en-01_1232	C
Al-en-01_1233	C
Al-en-01_1234	C
Al-en-01_1235	C
Al-en-01_1236	B
Al-en-01_1237	D
Al-en-01_1238	D
Al-en-01_1239	D
Al-en-01_1240	D
Al-en-01_1241	C
Al-en-01_1242	C
Al-en-01_1243	D
Al-en-01_1244	D
Al-en-01_1245	D
Al-en-01_1246	C
Al-en-01_1247	C
Al-en-01_1248	D
